iter	Passed	Remaining
741	26007	9043
742	26042	9007
743	26075	8972
744	26108	8936
745	26143	8901
746	26177	8866
747	26212	8831
748	26246	8795
749	26279	8759
750	26320	8726
751	26355	8691
752	26393	8657
753	26430	8623
754	26473	8590
755	26513	8557
756	26550	8522
757	26586	8488
758	26621	8453
759	26657	8418
760	26699	8385
761	26750	8355
762	26800	8324
763	26834	8289
764	26866	8253
765	26904	8218
766	26939	8183
767	26976	8149
768	27019	8116
769	27059	8082
770	27103	8050
771	27139	8015
772	27171	7979
773	27204	7943
774	27238	7907
775	27274	7873
776	27315	7839
777	27360	7807
778	27397	7772
779	27434	7737
780	27473	7703
781	27510	7669
782	27546	7634
783	27581	7599
784	27618	7564
785	27659	7530
786	27695	7495
787	27731	7460
788	27770	7426
789	27805	7391
790	27843	7356
791	27878	7321
792	27922	7288
793	27977	7258
794	28024	7226
795	28071	7194
796	28116	7161
797	28161	7128
798	28206	7095
799	28253	7063
800	28308	7032
801	28358	7001
802	28403	6968
803	28444	6934
804	28483	6899
805	28525	6865
806	28561	6830
807	28597	6795
808	28633	6760
809	28668	6724
810	28704	6689
811	28739	6653
812	28773	6618
813	28808	6582
814	28851	6549
815	28900	6516
816	28946	6483
817	28989	6450
818	29034	6416
819	29079	6383
820	29128	6350
821	29172	6317
822	29213	6282
823	29253	6248
824	29287	6212
825	29324	6177
826	29359	6141
827	29392	6105
828	29429	6070
829	29464	6034
830	29503	6000
831	29539	5964
832	29572	5928
833	29607	5893
834	29641	5857
835	29678	5822
836	29713	5786
837	29747	5750
838	29779	5714
839	29810	5678
840	29845	5642
841	29877	5606
842	29908	5570
843	29941	5534
844	29975	5498
845	30011	5463
846	30045	5427
847	30082	5392
848	30116	5356
849	30157	5321
850	30205	5288
851	30250	5254
852	30293	5220
853	30331	5185
854	30366	5149
855	30404	5114
856	30438	5079
857	30470	5042
858	30505	5007
859	30538	4971
860	30574	4935
861	30610	4900
862	30649	4865
863	30682	4829
864	30716	4793
865	30754	4758
866	30789	4723
867	30821	4687
868	30854	4651
869	30888	4615
870	30924	4580
871	30958	4544
872	30991	4508
873	31024	4472
874	31056	4436
875	31094	4401
876	31127	4365
877	31162	4330
878	31195	4294
879	31229	4258
880	31264	4223
881	31296	4187
882	31329	4151
883	31362	4115
884	31395	4079
885	31430	4044
886	31463	4008
887	31496	3972
888	31529	3936
889	31562	3900
890	31597	3865
891	31629	3829
892	31664	3794
893	31700	3758
894	31729	3722
895	31768	3687
896	31800	3651
897	31832	3615
898	31864	3579
899	31897	3544
900	31934	3508
901	31966	3473
902	31999	3437
903	32033	3401
904	32067	3366
905	32104	3330
906	32138	3295
907	32172	3259
908	32207	3224
909	32239	3188
910	32275	3153
911	32310	3117
912	32343	3082
913	32376	3046
914	32408	3010
915	32444	2975
916	32478	2939
917	32511	2904
918	32548	2868
919	32592	2834
920	32636	2799
921	32684	2765
922	32732	2730
923	32768	2695
924	32805	2659
925	32843	2624
926	32882	2589
927	32916	2553
928	32950	2518
929	32982	2482
930	33018	2447
931	33053	2411
932	33086	2376
933	33120	2340
934	33153	2304
935	33189	2269
936	33222	2233
937	33254	2198
938	33287	2162
939	33319	2126
940	33355	2091
941	33386	2055
942	33420	2020
943	33452	1984
944	33485	1948
945	33520	1913
946	33552	1877
947	33585	1842
948	33619	1806
949	33652	1771
950	33688	1735
951	33721	1700
952	33754	1664
953	33788	1629
954	33821	1593
955	33858	1558
956	33893	1522
957	33936	1487
958	33979	1452
959	34021	1417
960	34069	1382
961	34113	1347
962	34156	1312
963	34198	1277
964	34235	1241
965	34273	1206
966	34308	1170
967	34341	1135
968	34375	1099
969	34410	1064
970	34447	1028
971	34484	993
972	34519	957
973	34564	922
974	34611	887
975	34660	852
976	34701	816
977	34747	781
978	34797	746
979	34843	711
980	34892	675
981	34936	640
982	34980	604
983	35020	569
984	35061	533
985	35101	498
986	35137	462
987	35172	427
988	35206	391
989	35238	355
990	35274	320
991	35308	284
992	35343	249
993	35376	213
994	35409	177
995	35446	142
996	35479	106
997	35512	71
998	35545	35
999	35577	0
